artist,track_name,track_url,album_name,album_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,genre,preview
Ducktails,Sunset Liner,https://api.spotify.com/v1/tracks/7KBnTyXjTYTZmsDyPAmqDC,Ducktails III: Arcade Dynamics,https://api.spotify.com/v1/albums/6nYHFGsHE9YoCs8cf6G3hL,0.308,0.62,11,-4.335,1,0.0369,0.0464,0.0000166,0.397,0.753,160.94,audio_features,7KBnTyXjTYTZmsDyPAmqDC,129147,3,chillwave,https://p.scdn.co/mp3-preview/f165772f8c6526d313c5ba9c72aef5bcfc01940a?cid=fc235f8b650243338f2957a048e88a50
Tomppabeats,Far Away,https://api.spotify.com/v1/tracks/0kuTRDo4UHRH1UM9ycnMCh,Harbor,https://api.spotify.com/v1/albums/2p2dzaB6jqlKi4Oj2WlFoN,0.675,0.495,10,-11.151,0,0.0957,0.444,0.964,0.162,0.723,73.117,audio_features,0kuTRDo4UHRH1UM9ycnMCh,52603,4,chillhop,https://p.scdn.co/mp3-preview/0fcf58fda3b69e2967739bc8a7b08d85a7a580df?cid=fc235f8b650243338f2957a048e88a50
"KAYTRANADA, Karriem Riggins, River Tiber",BUS RIDE,https://api.spotify.com/v1/tracks/1ZTDfHyxJJVBSkFA9h6GRs,99.90%,https://api.spotify.com/v1/albums/1dZZh7PvVgce1DDsDPzy8Z,0.657,0.438,9,-8.587,1,0.0483,0.0101,0.934,0.112,0.651,82.075,audio_features,1ZTDfHyxJJVBSkFA9h6GRs,133347,4,deep indie r&b,https://p.scdn.co/mp3-preview/67a88f91c100f9c3c3d74ba2dcbd4148daf10ca8?cid=fc235f8b650243338f2957a048e88a50
Mndsgn,Homewards,https://api.spotify.com/v1/tracks/51Ed5kypGZ91g1Mo0QfPkK,Yawn Zen,https://api.spotify.com/v1/albums/5izEWGjIhgUnPXUGgGX60o,0.415,0.494,0,-11.386,1,0.305,0.558,0.15,0.331,0.781,95.976,audio_features,51Ed5kypGZ91g1Mo0QfPkK,151303,3,chillhop,https://p.scdn.co/mp3-preview/773b7605dbde5ef68eabdd93845ce16759087769?cid=fc235f8b650243338f2957a048e88a50
Madlib,Distant Land,https://api.spotify.com/v1/tracks/2dSVG6LVW865BwFXAr35yB,Shades Of Blue: Madlib Invades Blue Note,https://api.spotify.com/v1/albums/6QGGYDDGDLHrg7d3DOLlBT,0.59,0.667,10,-9.786,0,0.0427,0.00274,0.931,0.0521,0.781,91.351,audio_features,2dSVG6LVW865BwFXAr35yB,238507,4,alternative hip hop,https://p.scdn.co/mp3-preview/1a89d4b995009c60689fe207e4000af7d5f4843f?cid=fc235f8b650243338f2957a048e88a50
Gold Panda,In My Car,https://api.spotify.com/v1/tracks/5aQqGqENuhfqEvmQTPtACn,Good Luck And Do Your Best,https://api.spotify.com/v1/albums/2iQbhgOcJy79FVMrLfNWTG,0.436,0.811,4,-6.478,0,0.498,0.285,0.185,0.337,0.15,148.087,audio_features,5aQqGqENuhfqEvmQTPtACn,267733,4,alternative dance,https://p.scdn.co/mp3-preview/a5279fe7e30d5821115332cf147985df41390c89?cid=fc235f8b650243338f2957a048e88a50
Ljones,Mango Kimono,https://api.spotify.com/v1/tracks/5MzB66hfvOvzMuaAz6myLv,Soul Below,https://api.spotify.com/v1/albums/4XBPVDluRNPX7A7yaC1yYs,0.762,0.746,1,-8.828,1,0.0392,0.153,0.944,0.109,0.955,96.167,audio_features,5MzB66hfvOvzMuaAz6myLv,219820,4,chillhop,https://p.scdn.co/mp3-preview/4d421de57980b2d8249382830205dc7fd3cbbb84?cid=fc235f8b650243338f2957a048e88a50
Knxwledge,feelin,https://api.spotify.com/v1/tracks/2QuGR2Ou123bpkiqVtp8mf,Buttrskotch,https://api.spotify.com/v1/albums/4y2dmGJ2Dp5zakPlodK08k,0.564,0.516,6,-10.32,0,0.359,0.368,0.0000349,0.395,0.318,189.711,audio_features,2QuGR2Ou123bpkiqVtp8mf,40421,4,chillhop,https://p.scdn.co/mp3-preview/04ac27e759d5100d5d9a1dc6cea746806b7ed1e2?cid=fc235f8b650243338f2957a048e88a50
Bonobo,Gypsy,https://api.spotify.com/v1/tracks/1c2IpAsiDRCUfuUIg331dZ,Animal Magic,https://api.spotify.com/v1/albums/4fwdKlGLJuEB9UuCHaNKql,0.598,0.446,4,-12.167,1,0.037,0.418,0.868,0.0778,0.273,174.074,audio_features,1c2IpAsiDRCUfuUIg331dZ,218667,4,chillhop,https://p.scdn.co/mp3-preview/f86996398196aaa1140e1d4fa61c80602ea67aad?cid=fc235f8b650243338f2957a048e88a50
Preoccupations,Continental Shelf,https://api.spotify.com/v1/tracks/3d5lGpqxg1cMEYrgTaGxZy,Viet Cong,https://api.spotify.com/v1/albums/63GwqLuSzZnAQpd1JBQKLT,0.414,0.912,0,-6.142,1,0.0509,0.000533,0.943,0.159,0.589,114.421,audio_features,3d5lGpqxg1cMEYrgTaGxZy,198514,4,chamber psych,https://p.scdn.co/mp3-preview/8bc95fac20cc1fc5b479d89f276ab324e6fd177b?cid=fc235f8b650243338f2957a048e88a50
Cloud Nothings,Enter Entirely,https://api.spotify.com/v1/tracks/0crhAuvYRZU16Zs2JaSxJN,Life Without Sound,https://api.spotify.com/v1/albums/4S0u7ogDyJ5SNYjSvlHe4O,0.488,0.888,8,-5.711,1,0.052,0.00184,0.59,0.0692,0.388,117.947,audio_features,0crhAuvYRZU16Zs2JaSxJN,298707,4,alternative rock,https://p.scdn.co/mp3-preview/6932a92d6782ba957d16cc4094a4fa269af93e2d?cid=fc235f8b650243338f2957a048e88a50
Alvvays,In Undertow,https://api.spotify.com/v1/tracks/06GnitrkkBg5lc8NJ2j7NR,In Undertow,https://api.spotify.com/v1/albums/3LMAthxmgq9jRcx7RvBCLM,0.357,0.69,1,-2.626,1,0.044,0.000115,0.00167,0.101,0.286,116.91,audio_features,06GnitrkkBg5lc8NJ2j7NR,197187,4,chamber pop,https://p.scdn.co/mp3-preview/00ee065596b3169c8176893a05119f856c16904e?cid=fc235f8b650243338f2957a048e88a50
